"","ccaa_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_ag","num_casos_prueba_elisa","num_casos_prueba_desconocida"
"1","AN","2020-01-01",0,0,0,0,0,0
"2","AR","2020-01-01",0,0,0,0,0,0
"3","AS","2020-01-01",0,0,0,0,0,0
"4","CB","2020-01-01",0,0,0,0,0,0
"5","CE","2020-01-01",0,0,0,0,0,0
"6","CL","2020-01-01",0,0,0,0,0,0
"7","CM","2020-01-01",0,0,0,0,0,0
"8","CN","2020-01-01",0,0,0,0,0,0
"9","CT","2020-01-01",0,0,0,0,0,0
"10","EX","2020-01-01",0,0,0,0,0,0
"11","GA","2020-01-01",0,0,0,0,0,0
"12","IB","2020-01-01",0,0,0,0,0,0
"13","MC","2020-01-01",0,0,0,0,0,0
"14","MD","2020-01-01",1,1,0,0,0,0
"15","ML","2020-01-01",0,0,0,0,0,0
"16","NC","2020-01-01",0,0,0,0,0,0
"17","PV","2020-01-01",0,0,0,0,0,0
"18","RI","2020-01-01",0,0,0,0,0,0
"19","VC","2020-01-01",0,0,0,0,0,0
"20","AN","2020-01-02",0,0,0,0,0,0
"21","AR","2020-01-02",0,0,0,0,0,0
"22","AS","2020-01-02",0,0,0,0,0,0
"23","CB","2020-01-02",0,0,0,0,0,0
"24","CE","2020-01-02",0,0,0,0,0,0
"25","CL","2020-01-02",0,0,0,0,0,0
"26","CM","2020-01-02",0,0,0,0,0,0
"27","CN","2020-01-02",0,0,0,0,0,0
"28","CT","2020-01-02",0,0,0,0,0,0
"29","EX","2020-01-02",0,0,0,0,0,0
"30","GA","2020-01-02",0,0,0,0,0,0
"31","IB","2020-01-02",0,0,0,0,0,0
"32","MC","2020-01-02",0,0,0,0,0,0
"33","MD","2020-01-02",0,0,0,0,0,0
"34","ML","2020-01-02",0,0,0,0,0,0
"35","NC","2020-01-02",0,0,0,0,0,0
"36","PV","2020-01-02",0,0,0,0,0,0
"37","RI","2020-01-02",0,0,0,0,0,0
"38","VC","2020-01-02",0,0,0,0,0,0
"39","AN","2020-01-03",0,0,0,0,0,0
"40","AR","2020-01-03",0,0,0,0,0,0
"41","AS","2020-01-03",0,0,0,0,0,0
"42","CB","2020-01-03",0,0,0,0,0,0
"43","CE","2020-01-03",0,0,0,0,0,0
"44","CL","2020-01-03",0,0,0,0,0,0
"45","CM","2020-01-03",0,0,0,0,0,0
"46","CN","2020-01-03",0,0,0,0,0,0
"47","CT","2020-01-03",1,1,0,0,0,0
"48","EX","2020-01-03",0,0,0,0,0,0
"49","GA","2020-01-03",0,0,0,0,0,0
"50","IB","2020-01-03",0,0,0,0,0,0
"51","MC","2020-01-03",0,0,0,0,0,0
"52","MD","2020-01-03",0,0,0,0,0,0
"53","ML","2020-01-03",0,0,0,0,0,0
"54","NC","2020-01-03",0,0,0,0,0,0
"55","PV","2020-01-03",0,0,0,0,0,0
"56","RI","2020-01-03",0,0,0,0,0,0
"57","VC","2020-01-03",0,0,0,0,0,0
"58","AN","2020-01-04",0,0,0,0,0,0
"59","AR","2020-01-04",0,0,0,0,0,0
"60","AS","2020-01-04",0,0,0,0,0,0
"61","CB","2020-01-04",0,0,0,0,0,0
"62","CE","2020-01-04",0,0,0,0,0,0
"63","CL","2020-01-04",0,0,0,0,0,0
"64","CM","2020-01-04",0,0,0,0,0,0
"65","CN","2020-01-04",0,0,0,0,0,0
"66","CT","2020-01-04",0,0,0,0,0,0
"67","EX","2020-01-04",0,0,0,0,0,0
"68","GA","2020-01-04",0,0,0,0,0,0
"69","IB","2020-01-04",0,0,0,0,0,0
"70","MC","2020-01-04",0,0,0,0,0,0
"71","MD","2020-01-04",0,0,0,0,0,0
"72","ML","2020-01-04",0,0,0,0,0,0
"73","NC","2020-01-04",0,0,0,0,0,0
"74","PV","2020-01-04",0,0,0,0,0,0
"75","RI","2020-01-04",0,0,0,0,0,0
"76","VC","2020-01-04",0,0,0,0,0,0
"77","AN","2020-01-05",0,0,0,0,0,0
"78","AR","2020-01-05",0,0,0,0,0,0
"79","AS","2020-01-05",0,0,0,0,0,0
"80","CB","2020-01-05",0,0,0,0,0,0
"81","CE","2020-01-05",0,0,0,0,0,0
"82","CL","2020-01-05",0,0,0,0,0,0
"83","CM","2020-01-05",0,0,0,0,0,0
"84","CN","2020-01-05",0,0,0,0,0,0
"85","CT","2020-01-05",0,0,0,0,0,0
"86","EX","2020-01-05",0,0,0,0,0,0
"87","GA","2020-01-05",0,0,0,0,0,0
"88","IB","2020-01-05",0,0,0,0,0,0
"89","MC","2020-01-05",0,0,0,0,0,0
"90","MD","2020-01-05",0,0,0,0,0,0
"91","ML","2020-01-05",0,0,0,0,0,0
"92","NC","2020-01-05",0,0,0,0,0,0
"93","PV","2020-01-05",0,0,0,0,0,0
"94","RI","2020-01-05",0,0,0,0,0,0
"95","VC","2020-01-05",0,0,0,0,0,0
"96","AN","2020-01-06",0,0,0,0,0,0
"97","AR","2020-01-06",0,0,0,0,0,0
